影城名称,放映系统,开业时间,银幕宽度(米),银幕高度(米),座位数(个),备注
重庆万达影城(涪陵万达广场店) ,IMAX数字,2019年7月19日,-,-,315,-
重庆CGV影城(来福士旗舰店),IMAX数字,2019年9月6日,20.33,10.73,283, -
重庆新幕影城（解放碑八一广场店）,IMAX数字,2021年1月15日,23.76,12.88,356,原重庆星美国际影商城(解放碑店) 
重庆越界影城(汽博中心店) ,IMAX数字,2015年12月8日,21.77,11.47,410,-
重庆越界影城(江北嘴店) ,IMAX数字,2016年1月1日,20.16,10.68,329,-
重庆越界影城(石桥铺店) 永久关闭,IMAX数字,2015年11月13日,23.85,12.44,528,2021年1月10日闭店
重庆CGV影城(观音桥店) 永久关闭,IMAX数字,2017年6月23日,  ,   ,326,2021年2月28日闭店
大慶市科學技術館,IMAX SR Dome,2010年1月15日,18,-,120,-
大庆万达影城(萨尔图万达广场店) ,IMAX数字,2011年11月25日,  ,  ,288,-
大庆幸福蓝海影城(松雷广场店) ,IMAX数字,2013年12月21日,  ,  ,407,-
大庆万达影城(让胡路万达广场店) ,IMAX数字,2019年7月19日,-,-,-,-
北京中国科技馆,IMAX GT,2009年10月1日,29.58,21.93,632,"科教影院
（无胶片IMAX片源时则播放普通数字商业/科普影片）"
北京中國科技館,IMAX GT Dome,2010年2月2日,30,-,442,-
北京中国民航博物馆,IMAX SR,2012年12月20日,21.33,16.06,300,"科教影院
（建成之后至今未开放）"
北京UME国际影城(华星店) ,IMAX数字,2015年8月4日,23.91,13.84,411,中國大陸地區第4家IMAX影院
北京万达影城(CBD万达广场店) ,IMAX数字,2011年1月11日,16.86,8.39,328,-
北京万达影城(天通苑龙德广场店) ,IMAX数字,2012年7月27日,  ,  ,267,-
北京金逸影城(朝阳大悦城店) ,IMAX数字,2012年12月20日,   ,  ,298,-
北京万达影城（通州万达广场店）,IMAX数字,2014年11月29日,20.9,11.7,424,-
北京金逸影城(荟聚IMAX店) ,IMAX数字,2014年12月19日,23.9,12.22,445,-
北京博纳国际影城(朝阳门旗舰店) ,IMAX数字,2014年12月16日,15.86,8.22,232,-
北京华谊兄弟影院(洋桥店) ,IMAX数字,2015年8月15日,19.84,10.68,321,-
北京卢米埃影城(龙湖店) ,IMAX数字,2015年10月12日,23.65,13.04,410,-
北京SFC上影影城(大兴龙湖店) ,IMAX数字,2016年7月1日,21.75,12.21,392,-
北京恒业国际影城(六里桥店) ,IMAX数字,2016年12月16日,16.37,8.6,262,-
北京万达影城(槐房万达广场店) ,IMAX数字,2016年12月22日,20.43,10.83,395,-
